Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
IDA only,IDX,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Isle of Man,IMN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
India,IND,GNI per capita (constant LCU),NY.GNP.PCAP.KN,75568.36198,80306.77198,85783.06587,91046.51537,97131.39357,102421.8971,88709.66764
Not classified,INX,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Ireland,IRL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,35592.52067,38470.34464,42972.28516,45935.25228,48472.79838,51432.9612,43812.69372
"Iran, Islamic Rep.",IRN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,77758730.69,80003250.79,77871431,87138322.38,89082639.5,82804193.71,82443094.68
Iraq,IRQ,GNI per capita (constant LCU),NY.GNP.PCAP.KN,5252197.044,5064604.864,5124876.607,5668667.942,5432897.659,5237655.459,5296816.596
Iceland,ISL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Israel,ISR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,133563.9329,138085.5093,138007.9159,140423.4483,143206.675,146002.7875,139881.7115
Italy,ITA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,27224.42823,27023.13703,27068.91562,27736.92976,28315.03367,28790.36966,27693.13566
Jamaica,JAM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,287880.8808,288788.2714,286971.6745,285957.583,291425.0659,292602.7766,288937.7087
Jordan,JOR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3046.840584,3004.271859,2963.5213,2941.832725,2940.140358,2944.179092,2973.464319
Japan,JPN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4238945.78,4270123.955,4339509.678,4348442.933,4457616.249,4483772.441,4356401.839
Kazakhstan,KAZ,GNI per capita (constant LCU),NY.GNP.PCAP.KN,619076.7864,639173.5226,679839.0243,646582.8167,651072.2248,651482.6041,647871.1631
Kenya,KEN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,79260.22153,81150.00872,83778.1991,86400.74592,88050.62065,91732.3821,85062.02967
Kyrgyz Republic,KGZ,GNI per capita (constant LCU),NY.GNP.PCAP.KN,42648.19568,44210.86822,45111.41244,45368.71095,46771.32279,48482.43105,45432.15686
Cambodia,KHM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,2375334.144,2478951.015,2586275.389,2720186.906,2857884.819,2997532.247,2669360.753
Kiribati,KIR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,2474.101484,2813.512128,3405.028875,3035.708273,3247.950612,3204.206609,3030.084664
St. Kitts and Nevis,KNA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
"Korea, Rep.",KOR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,31179434.48,31929237.95,32602339.08,33448817.44,34423830.4,35253229.1,33139481.41
Kuwait,KWT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,12059.71757,11719.02502,11171.07789,11113.6163,10726.48348,10602.82516,11232.12424
Latin America & Caribbean (excluding high income),LAC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Lao PDR,LAO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,12754627.63,13651956.47,14429711.26,15189536.38,,,14006457.93
Lebanon,LBN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,10459541.6,10074837.13,9668783.977,9492408.515,9552158.155,9295303.327,9757172.118
Liberia,LBR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,307.5462389,301.8438472,297.8979461,285.704889,284.1637906,271.5785351,291.4558745
Libya,LBY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
St. Lucia,LCA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Latin America & Caribbean,LCN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Least developed countries: UN classification,LDC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Low income,LIC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Liechtenstein,LIE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Sri Lanka,LKA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,372223.5854,387215.3434,401719.4529,414219.3384,424251.6093,433213.7713,405473.8501
Lower middle income,LMC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Low & middle income,LMY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Lesotho,LSO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,11765.51997,11583.93794,11953.53977,12423.65694,11896.2274,11763.07377,11897.6593
Late-demographic dividend,LTE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Lithuania,LTU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,11694.85542,12337.96541,12392.25966,12867.2761,13599.85239,14352.61187,12874.13681
Luxembourg,LUX,GNI per capita (constant LCU),NY.GNP.PCAP.KN,59083.94204,59249.7161,59549.98209,59428.04006,59828.64578,59606.30628,59457.77206
Latvia,LVA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,11582.55554,11858.65251,12360.83098,12810.6739,13332.25515,13775.29709,12620.04419
"Macao SAR, China",MAC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
St. Martin (French part),MAF,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Morocco,MAR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,24252.06746,24307.98533,25162.21729,25081.1431,25798.54391,26277.2685,25146.5376
Monaco,MCO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Moldova,MDA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,37948.87685,39604.13614,38731.08442,40794.99139,43533.0118,45785.41007,41066.25178
Madagascar,MDG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,743875.0071,753560.0342,748095.0868,754502.3227,771391.0712,771292.5316,757119.3423
Maldives,MDV,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,118167.9576,118143.4543,121417.6137,125005.5746,128860.635,122319.0471
Middle East & North Africa,MEA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Mexico,MEX,GNI per capita (constant LCU),NY.GNP.PCAP.KN,132996.8922,135666.5015,138274.7111,140072.1463,141452.0272,142763.0466,138537.5541
Marshall Islands,MHL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3868.700991,3971.756155,4288.285983,4246.545769,4295.561213,4353.423121,4170.712205
