jour,citations,OAdes,OAlab,year,auth_count,Volume,Issue,apc_cat,AIS,JCR_quart,field
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,Other Gold,Other Gold,2013,5,439,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,Green Published,Green,2013,14,439,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Other Gold,Other Gold,2013,8,439,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,46,Green Accepted,Green,2013,8,439,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Green Accepted,Green,2013,7,439,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,23,Other Gold,Other Gold,2013,7,439,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Green Accepted,Green,2013,6,439,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,51,Green Accepted,Green,2013,5,439,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,32,Green Accepted,Green,2013,5,439,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,"Green Accepted, Green Published",Green,2013,7,439,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Other Gold,Other Gold,2013,4,439,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,37,Other Gold,Other Gold,2013,15,439,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,5,Green Accepted,Green,2013,2,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,24,Green Accepted,Green,2013,2,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Green Published,Green,2013,8,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,23,Green Accepted,Green,2013,9,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Other Gold,Other Gold,2013,6,440,1,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Green Accepted,Green,2013,9,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,Green Accepted,Green,2013,5,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,1,Green Accepted,Green,2013,8,440,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,26,Green Published,Green,2013,4,440,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Green Accepted,Green,2013,7,440,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Green Accepted,Green,2013,5,440,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,48,Green Accepted,Green,2013,5,440,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Green Accepted,Green,2013,5,440,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,50,Green Accepted,Green,2013,4,440,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,24,Other Gold,Other Gold,2013,6,440,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,5,Green Accepted,Green,2013,2,440,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,2,440,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,14,Green Accepted,Green,2013,5,440,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,0,Green Published,Green,2013,5,440,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,1,440,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,22,"Green Accepted, Green Published",Green,2013,4,440,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Green Accepted,Green,2013,3,440,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Green Accepted,Green,2013,4,441,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Green Published,Green,2013,8,441,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,20,Green Published,Green,2013,2,441,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Green Accepted,Green,2013,4,441,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,24,Green Accepted,Green,2013,3,441,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,22,Other Gold,Other Gold,2013,7,441,1,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,55,Green Published,Green,2013,20,441,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,18,Green Accepted,Green,2013,2,441,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,16,Green Accepted,Green,2013,8,441,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,18,"Green Published, Green Accepted",Green,2013,2,441,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,Green Accepted,Green,2013,2,441,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,16,Green Accepted,Green,2013,6,441,2,noAPC,0.599,2,Biochemistry 
