"(Intercept)" "auth_count" "citations" "field" "IF_5Y_2019" "JIFquant" "journal" "OAlab" "publisher" "year" "df" "logLik" "AICc" "delta" "weight"
"478" 3464.58815134057 0.127969583669077 NA "+" 0.185052233833686 "+" NA "+" "+" -1.71612350385495 49 -520466.78372766 1041031.5996424 4402.59610582911 0
"408" 3398.38635849408 0.130860205034 0.00266988679528426 "+" NA "+" NA NA "+" -1.68345912560749 45 -520532.206833708 1041154.4408615 4525.4373249273 0
"476" 3430.99140894715 0.122502645646578 0.00256440623816124 NA 0.208833129491775 "+" NA "+" "+" -1.69911125178498 39 -520594.865533677 1041267.75156064 4638.74802406644 0
"414" 3419.12679541783 0.129217621390399 NA "+" 0.182952450340351 "+" NA NA "+" -1.69383671959977 45 -520688.092053584 1041466.21130125 4837.20776467933 0
"470" 3466.52852947584 0.132276840061152 NA "+" NA "+" NA "+" "+" -1.71693806097403 48 -520701.132331379 1041498.29556215 4869.2920255803 0
"412" 3389.33828203015 0.126414025400679 0.00256617112253561 NA 0.204141397375348 "+" NA NA "+" -1.67859103941765 35 -520819.411896528 1041708.84034489 5079.83680831711 0
"479" 3395.35996088512 NA 0.00265371572317019 "+" 0.193028359227522 "+" NA "+" "+" -1.68146975682635 49 -520826.572306001 1041751.17679908 5122.17326250963 0
"406" 3425.30514611306 0.133233155226459 NA "+" NA "+" NA NA "+" -1.69681192545141 44 -520918.294707293 1041924.61542615 5295.61188957526 0
"474" 3456.15995759453 0.124351256946684 NA NA 0.219452972218547 "+" NA "+" "+" -1.71160060718785 38 -520950.052648193 1041976.12476488 5347.12122830783 0
"352" 3424.29550035366 0.129550500418487 0.00257926522010277 "+" 0.241302344223572 "+" NA "+" NA -1.69667660808054 24 -521019.759332202 1042087.52654566 5458.52300908975 0
"415" 3345.05728840995 NA 0.00266021053813486 "+" 0.189824490555697 "+" NA NA "+" -1.65672347862111 45 -521061.099236307 1042212.2256667 5583.22213012667 0
"471" 3394.81098694858 NA 0.00276165836343107 "+" NA "+" NA "+" "+" -1.68103193316932 48 -521080.60652683 1042257.24395305 5628.24041648128 0
"468" 3429.13490015781 0.132481018194877 0.00275668779397639 NA NA "+" NA "+" "+" -1.69788847346508 38 -521117.995871296 1042312.01121108 5683.00767451245 0
"410" 3414.48504419216 0.128268891023446 NA NA 0.214761675065761 "+" NA NA "+" -1.69106962734735 34 -521174.042810475 1042416.10125313 5787.09771656222 0
"477" 3421.04662795814 NA NA "+" 0.204760245784113 "+" NA "+" "+" -1.69420848084124 48 -521205.837451752 1042507.7058029 5878.70226632641 0
"475" 3393.35437872962 NA 0.00264154692452899 NA 0.23183049392838 "+" NA "+" "+" -1.68019715643825 38 -521301.265985134 1042678.55143876 6049.54790218838 0
"407" 3348.87630634517 NA 0.00276739938550479 "+" NA "+" NA NA "+" -1.65851294462642 44 -521307.847588428 1042703.72118842 6074.71765184519 0
"404" 3402.19428891374 0.136208265893849 0.00276012027943453 NA NA "+" NA NA "+" -1.68482251658904 34 -521334.068182484 1042736.15199715 6107.14846058039 0
"288" 3370.38150944646 0.130692365590536 0.00259033681384215 "+" 0.241877995614947 "+" NA NA NA -1.67025388622404 20 -521353.967468971 1042747.94045468 6118.9369181057 0
"350" 3449.81915652357 0.13163118245063 NA "+" 0.252160927834556 "+" NA "+" NA -1.70934100968168 23 -521377.031704316 1042800.07065934 6171.06712276966 0
"413" 3370.69908446901 NA NA "+" 0.201612615324362 "+" NA NA "+" -1.6694423718514 44 -521441.054969544 1042970.13595065 6341.13241407753 0
"469" 3421.57392672084 NA NA "+" NA "+" NA "+" "+" -1.69429391193842 47 -521490.915950941 1043075.86153988 6446.85800330935 0
"466" 3456.19229196416 0.135023414715337 NA NA NA "+" NA "+" "+" -1.71129858063255 37 -521527.049575214 1043128.11762041 6499.11408384377 0
"411" 3345.45571024275 NA 0.00264626242946137 NA 0.227298897143187 "+" NA NA "+" -1.65658586818915 34 -521571.768155515 1043211.55194321 6582.54840664391 0
"473" 3418.70649653989 NA NA NA 0.243132404073272 "+" NA "+" "+" -1.6927739103297 37 -521674.787798787 1043423.59406756 6794.59053098911 0
"286" 3396.00761750314 0.132777545545302 NA "+" 0.252805965797115 "+" NA NA NA -1.68297391877884 19 -521712.748608985 1043463.50220927 6834.49867269665 0
"405" 3375.86554741871 NA NA "+" NA "+" NA NA "+" -1.6718934095466 43 -521718.654071579 1043523.33299849 6894.32946191425 0
"402" 3430.07060283461 0.138761406755114 NA NA NA "+" NA NA "+" -1.69864727328733 33 -521743.029138693 1043552.07301621 6923.06947963533 0
"344" 3417.97097220524 0.141605141895874 0.00282401770786955 "+" NA "+" NA "+" NA -1.693365612627 23 -521771.197827505 1043588.40290572 6959.39936914761 0
"351" 3374.86928127828 NA 0.00266770548544056 "+" 0.264034712505196 "+" NA "+" NA -1.67180669280874 23 -521780.496815126 1043607.00088096 6977.99734438898 0
"348" 3424.07457275316 0.122976728564618 0.00259080798144099 NA 0.271931718022078 "+" NA "+" NA -1.69611696171359 13 -521796.304093881 1043618.61057824 6989.60704166675 0
"409" 3370.73490788144 NA NA NA 0.238606210042604 "+" NA NA "+" -1.66912670345141 33 -521945.29769971 1043956.61013824 7327.60660166875 0
"467" 3387.84066313192 NA 0.00286397370017557 NA NA "+" NA "+" "+" -1.67710166043924 37 -521945.273849436 1043964.56616886 7335.56263228797 0
"280" 3365.13121099581 0.142719874877348 0.00283631163361664 "+" NA "+" NA NA NA -1.66749923220496 19 -522106.105792175 1044250.21657565 7621.21303907793 0
